Unnamed: 0,Amount per serving,% Daily Value*
Vitamin A :,,15
Vitamin C :,,90
Vitamin E :,,25
Thiamin :,,25
Riboflavin :,,45
Niacin :,,45
Vitamin B6 :,,40
Folate :,,30
Vitamin B12 :,,30
Biotin :,,15
Pantothenic Acid :,,25
