Unnamed: 0,Amount per serving,% Daily Value*
"Vitamin K, mcg : 2.1",2.1,
"Thiamin (Vitamin B1), mcg : 58",58.0,
"Riboflavin (Vitamin B2), mcg : 104",104.0,
"Vitamin B6, mcg : 53",53.0,
"Vitamin B12, mcg : 0.16",0.16,
"Niacin, mcg : 893",893.0,
"Folic Acid (Folacin), mcg : 5.75",5.75,
"Pantothenic Acid, mcg : 375",375.0,
"Biotin, mcg : 6.5",6.5,
"Vitamin C (Ascorbic Acid), mg : 6.3",6.3,
"Choline, mg : 0.5",0.5,
"Inositol, mg : 1",1.0,
"Vitamin A, IU : 155",155.0,
"Vitamin D, IU : 30",30.0,
"Vitamin E, IU : 0.8",0.8,
