,SKU66939e,mineral,metric
0,105.0,Calcium, mg
1,5.3,Calcium, mEq
2,70.0,Phosphorus, mg
3,6.0,Magnesium, mg
4,1.9,Iron, mg
5,0.79,Zinc, mg
6,5.0,Manganese, mcg
7,95.0,Copper, mcg
8,9.0,Iodine, mcg
9,2.0,Selenium, mcg
10,46.0,Sodium, mg
11,2.0,Sodium, mEq
12,121.0,Potassium, mg
13,3.1,Potassium, mEq
14,68.0,Chloride, mg
15,1.9,Chloride, mEq
