Unnamed: 0,Amount per serving,% Daily Value*
"Vitamin E, IU : 1.5",1.5,
"Vitamin K, mcg : 11",11.0,
"Thiamin (Vitamin B1), mcg : 63",63.0,
"Riboflavin (Vitamin B2), mcg : 95",95.0,
"Vitamin B6, mcg : 63",63.0,
"Vitamin B12, mcg : 0.47",0.47,
"Niacin, mcg : 1400",1400.0,
"Folic Acid (Folacin), mcg : 16",16.0,
"Pantothenic Acid, mcg : 780",780.0,
"Biotin, mcg : 4.7",4.7,
"Vitamin C (Ascorbic Acid), mg : 9",9.0,
"Choline, mg : 24",24.0,
"Inositol, mg : 5",5.0,
"Vitamin A, IU : 300",300.0,
"Vitamin D, IU : 60",60.0,
