,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin A, IU : 1500<sup>†</sup>",1500†,
1,"Beta-Carotene, mg : 0.5",0.5,
2,"Vitamin D, IU : 67",67,
3,"Vitamin E, IU : 7.5",7.5,
4,"Vitamin K, mcg : 14",14,
5,"Vitamin C, mg : 50",50,
6,"Folic Acid, mcg : 100",100,
7,"Vitamin B1, mg : 0.38",0.38,
8,"Vitamin B2, mg : 0.43",0.43,
9,"Vitamin B6, mg : 0.50",0.50,
10,"Vitamin B12, mcg : 1.5",1.5,
11,"Niacin, mg : 5.0",5.0,
12,"Choline, mg : 100",100,
13,"Biotin, mcg : 75",75,
14,"Pantothenic Acid, mg : 2.5",2.5,
