Unnamed: 0,Amount per serving,% Daily Value*
"Vitamin A, mcg RAE : 140",140.0,
"Vitamin D, mcg : 6.0",6.0,
"Vitamin E, mg : 3.0",3.0,
"Vitamin K, mcg : 18",18.0,
"Vitamin C, mg : 23",23.0,
"Folate, mcg DFE : 60",60.0,
"Folic Acid, mcg : 36",36.0,
"Thiamin (Vitamin B1), mg : 0.30",0.3,
"Riboflavin (Vitamin B2), mg : 0.33",0.33,
"Vitamin B6, mg : 0.34",0.34,
"Vitamin B12, mcg : 0.48",0.48,
"Choline, mg : 80",80.0,
"Niacin, mg NE : 3.2",3.2,
"Biotin, mcg : 8",8.0,
"Pantothenic Acid, mg : 1.3",1.3,
"Inositol, mg : 20",20.0,
