,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin A, mcg RAE : 150",150.0,
1,"Beta-Carotene, mg : 1.8",1.8,
2,"Vitamin D, mcg : 6",6.0,
3,"Vitamin E, mg : 3",3.0,
4,"Vitamin K, mcg : 20",20.0,
5,"Vitamin C, mg : 24",24.0,
6,"Folate, mcg DFE : 60",60.0,
7,"Folic Acid, mcg : 36",36.0,
8,"Thiamin (Vitamin B1), mg : 0.3",0.3,
9,"Riboflavin (Vitamin B2), mg : 0.3",0.3,
10,"Vitamin B6, mg : 0.3",0.3,
11,"Vitamin B12, mcg : 0.3",0.3,
12,"Niacin, mg NE : 3.2",3.2,
13,"Choline, mg : 80",80.0,
14,"Biotin, mcg : 5",5.0,
15,"Pantothenic Acid, mg : 1.3",1.3,
16,"Inositol, mg : 20",20.0,
