,Unnamed: 0,Amount per serving,% Daily Value*
0,"m-Inositol, mg : 200",200,
1,"Vitamin A, IU : 1840<sup>†</sup>",1840†,
2,"Beta-Carotene, mg : 0.63",0.63,
3,"Vitamin D, IU : 82",82,
4,"Vitamin E, IU : 9.2",9.2,
5,"Vitamin K, mcg : 24",24,
6,"Vitamin C, mg : 62",62,
7,"Folic Acid, mcg : 76",76,
8,"Vitamin B1, mg : 0.29",0.29,
9,"Vitamin B2, mg : 0.33",0.33,
10,"Vitamin B6, mg : 0.38",0.38,
11,"Vitamin B12, mcg : 1.2",1.2,
12,"Niacin, mg : 3.8",3.8,
13,"Choline, mg : 105",105,
14,"Biotin, mcg : 57",57,
15,"Pantothenic Acid, mg : 1.9",1.9,
