Unnamed: 0,Amount per serving,% Daily Value*
"Vitamin A, IU : 1250",1250.0,
"Vitamin D, IU : 150",150.0,
"Vitamin E, IU : 4.0",4.0,
"Vitamin K, mcg : 12",12.0,
"Thiamin (Vitamin B1), mcg : 250",250.0,
"Riboflavin (Vitamin B2), mcg : 620",620.0,
"Vitamin B6, mcg : 250",250.0,
"Vitamin B12, mcg : 0.55",0.55,
"Niacin, mcg : 5000",5000.0,
"Folic Acid (Folacin), mcg : 37",37.0,
"Pantothenic Acid, mcg : 1900",1900.0,
"Biotin, mcg : 37",37.0,
"Vitamin C (Ascorbic Acid), mg : 37",37.0,
"Choline, mg : 10",10.0,
"Inositol, mg : 40",40.0,
