,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin D, IU : 75",75.0,
1,"Vitamin E, IU : 1.5",1.5,
2,"Vitamin K, mcg : 8",8.0,
3,"Thiamin (Vitamin B1), mcg : 100",100.0,
4,"Riboflavin (Vitamin B2), mcg : 150",150.0,
5,"Vitamin B6, mcg : 60",60.0,
6,"Vitamin B12, mcg : 0.25",0.25,
7,"Niacin, mcg : 1050",1050.0,
8,"Folic Acid (Folacin), mcg : 15",15.0,
9,"Pantothenic Acid, mcg : 450",450.0,
10,"Biotin, mcg : 4.4",4.4,
11,"Vitamin C (Ascorbic Acid), mg : 9",9.0,
12,"Choline, mg : 16",16.0,
13,"Inositol, mg : 4.7",4.7,
14,"Vitamin A, IU : 300",300.0,
