,SKU64719e,mineral,metric
0,105.0,Calcium, mg
1,5.2,Calcium, mEq
2,75.0,Phosphorus, mg
3,7.5,Magnesium, mg
4,1.8,Iron, mg
5,0.75,Zinc, mg
6,8.0,Manganese, mcg
7,75.0,Copper, mcg
8,15.0,Iodine, mcg
9,2.0,Selenium, mcg
10,44.0,Sodium, mg
11,1.9,Sodium, mEq
12,118.0,Potassium, mg
13,3.0,Potassium, mEq
14,80.0,Chloride, mg
15,2.3,Chloride, mEq
