,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin A, mcg RAE : 200",200.0,
1,"Vitamin D, mcg : 5.9",5.9,
2,"Vitamin E, mg : 3.7",3.7,
3,"Vitamin K, mcg : 24",24.0,
4,"Vitamin C, mg : 36",36.0,
5,"Folate, mcg DFE : 180",180.0,
6,"Folic Acid, mcg : 107",107.0,
7,"Thiamin (Vitamin B1), mg : 1.0",1.0,
8,"Riboflavin (Vitamin B2), mg : 0.80",0.8,
9,"Vitamin B6, mg : 1.0",1.0,
10,"Vitamin B12, mcg : 2.1",2.1,
11,"Niacin, mg NE : 7.6",7.6,
12,"Choline, mg : 120",120.0,
13,"Biotin, mcg : 30",30.0,
14,"Pantothenic Acid, mg : 3.6",3.6,
15,"Inositol, mg : 47",47.0,
