,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin D, IU : 60",60.0,
1,"Vitamin E, IU : 1.5",1.5,
2,"Vitamin K, mcg : 8",8.0,
3,"Thiamin (Vitamin B1), mcg : 100",100.0,
4,"Riboflavin (Vitamin B2), mcg : 160",160.0,
5,"Vitamin B6, mcg : 63",63.0,
6,"Vitamin B12, mcg : 0.26",0.26,
7,"Niacin, mcg : 1100",1100.0,
8,"Folic Acid (Folacin), mcg : 16",16.0,
9,"Pantothenic Acid, mcg : 470",470.0,
10,"Biotin, mcg : 4.6",4.6,
11,"Vitamin C (Ascorbic Acid), mg : 9",9.0,
12,"Choline, mg : 24",24.0,
13,"Inositol, mg : 4.5",4.5,
14,"Vitamin A, IU : 300",300.0,
