Unnamed: 0,Amount per serving,% Daily Value*
"m-Inositol, mg : 200",200,
"Vitamin A, IU : 1840<sup>†</sup>",1840†,
"Beta-Carotene, mg : 0.63",0.63,
"Vitamin D, IU : 82",82,
"Vitamin E, IU : 9.2",9.2,
"Vitamin K, mcg : 24",24,
"Vitamin C, mg : 62",62,
"Folic Acid, mcg : 76",76,
"Vitamin B1, mg : 0.29",0.29,
"Vitamin B2, mg : 0.33",0.33,
"Vitamin B6, mg : 0.38",0.38,
"Vitamin B12, mcg : 1.2",1.2,
"Niacin, mg : 3.8",3.8,
"Choline, mg : 105",105,
"Biotin, mcg : 57",57,
"Pantothenic Acid, mg : 1.9",1.9,
