,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin A, mcg RAE : 140",140.0,
1,"Vitamin D, mcg : 5.9",5.9,
2,"Vitamin E, mg : 2.5",2.5,
3,"Vitamin K, mcg : 16",16.0,
4,"Vitamin C, mg : 24",24.0,
5,"Folate, mcg DFE : 120",120.0,
6,"Folic Acid, mcg : 71",71.0,
7,"Thiamin (Vitamin B1), mg : 0.60",0.6,
8,"Riboflavin (Vitamin B2), mg : 0.50",0.5,
9,"Vitamin B6, mg : 0.60",0.6,
10,"Vitamin B12, mcg : 1.4",1.4,
11,"Niacin, mg NE : 5.2",5.2,
12,"Choline, mg : 80",80.0,
13,"Biotin, mcg : 20",20.0,
14,"Pantothenic Acid, mg : 2.4",2.4,
15,"Inositol, mg : 32",32.0,
