,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin A, IU : 1250",1250.0,
1,"Vitamin D, IU : 150",150.0,
2,"Vitamin E, IU : 4.0",4.0,
3,"Vitamin K, mcg : 12",12.0,
4,"Thiamin (Vitamin B1), mcg : 250",250.0,
5,"Riboflavin (Vitamin B2), mcg : 620",620.0,
6,"Vitamin B6, mcg : 250",250.0,
7,"Vitamin B12, mcg : 0.55",0.55,
8,"Niacin, mcg : 5000",5000.0,
9,"Folic Acid (Folacin), mcg : 37",37.0,
10,"Pantothenic Acid, mcg : 1900",1900.0,
11,"Biotin, mcg : 37",37.0,
12,"Vitamin C (Ascorbic Acid), mg : 37",37.0,
13,"Choline, mg : 10",10.0,
14,"Inositol, mg : 40",40.0,
